X1,Y1,X2,Y2
0.0,75,287.4,65
211.3,68,303.7,67
159.8,72,288.4,62
254.7,66,352.2,72
205.1,89,324.0,71
41.1,53,474.1,72
134.3,81,469.1,64
192.3,77,596.3,63
235.8,80,258.4,73
206.6,71,319.8,64
90.9,59,366.9,64
205.4,74,351.2,71
237.4,68,349.2,59
230.0,68,559.5,71
233.0,68,301.2,82
148.1,58,466.4,83
172.0,66,291.7,80
230.2,76,300.3,85
94.5,66,301.7,69
196.1,67,587.2,81
163.1,71,297.8,82
42.3,65,294.1,60
48.1,87,317.7,69
0.0,71,373.3,90
25.5,70,312.6,84
146.3,71,363.4,74
163.1,52,338.5,84
247.4,82,296.9,57
0.0,60,317.5,72
153.9,55,590.4,62
95.2,67,360.1,80
193.8,68,264.6,74
154.7,76,421.1,55
0.0,78,337.5,71
0.0,65,290.6,82
175.8,85,347.0,63
252.8,90,343.7,70
189.7,75,395.5,80
116.0,77,408.6,67
198.2,85,256.0,61
148.0,60,280.8,60
212.7,74,281.0,54
200.3,73,281.5,75
172.5,51,306.3,78
101.8,78,449.5,72
255.2,67,277.4,61
243.7,75,279.8,70
173.0,70,292.0,82
40.4,50,302.0,59
98.5,77,502.8,72
